eid,globTime
1,1724.59
1,1724.59
1,1724.59
1,1724.59
1,1724.59
1,1724.59
1,1724.59
1,1724.59
1,1724.59
1,1724.59
3,456.635
3,456.635
3,456.635
3,456.635
3,456.635
3,456.635
3,456.635
3,456.635
3,456.635
4,871.294
4,871.294
4,871.294
4,871.294
4,871.294
4,871.294
4,871.294
4,871.294
6,326.342
6,326.342
6,326.342
6,326.342
6,326.342
6,326.342
6,326.342
6,326.342
8,2098.9
8,2098.9
8,2098.9
8,2098.9
9,3716.48
9,3716.48
9,3716.48
9,3716.48
9,3716.48
9,3716.48
9,3716.48
9,3716.48
10,3764.23
10,3764.23
10,3764.23
10,3764.23
10,3764.23
10,3764.23
10,3764.23
17,2678.07
17,2678.07
17,2678.07
17,2678.07
19,793.108
19,793.108
19,793.108
19,793.109
19,793.109
19,793.109
19,793.109
19,793.109
19,793.109
19,793.109
19,793.109
19,793.109
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
20,7869.85
23,1796.34
23,1796.34
23,1796.34
23,1796.34
23,1796.34
23,1796.34
23,1796.34
32,367.044
32,367.044
32,367.044
32,367.044
32,367.044
34,6610.83
34,6610.83
34,6610.83
34,6610.83
34,6610.83
34,6610.83
34,6610.83
38,1326
38,1326
38,1326
38,1326
38,1326
38,1326
40,4925.41
40,4925.41
40,4925.41
40,4925.41
40,4925.41
40,4925.41
40,4925.41
40,4925.41
42,1739.71
42,1739.71
42,1739.71
42,1739.71
42,1739.71
42,1739.71
42,1739.72
42,1739.72
42,1739.72
42,1739.72
43,3183.69
43,3183.69
43,3183.69
43,3183.69
43,3183.69
43,3183.69
43,3183.69
44,1699.35
44,1699.35
44,1699.35
44,1699.35
44,1699.35
44,1699.35
46,4396.11
46,4396.11
46,4396.11
46,4396.11
46,4396.11
46,4396.11
50,174.878
50,174.878
50,174.878
50,174.878
50,174.878
50,174.879
50,174.879
50,174.879
50,174.879
50,174.879
50,174.88
50,174.88
50,174.88
50,174.88
50,174.88
50,174.88
50,174.88
50,174.88
50,174.881
50,174.881
50,174.881
50,174.881
50,174.881
54,2889.18
54,2889.18
